1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,39,39,38,36,18,39,37,39,30,1,10,5,6,2,1,9,5,0,9,8,15,26,0,3,1,2,9,6,39,6,17,1,2,5,3,6,3,3,4,1,7,4,9,27,0,0,2,17,18
39,0,39,39,39,39,29,39,19,39,2,18,3,0,4,10,15,10,10,5,5,22,24,0,17,0,35,3,0,8,9,16,11,4,3,7,6,0,1,4,6,3,1,4,3,1,1,3,6,1
39,39,0,36,39,13,39,16,39,36,24,38,4,22,16,7,3,8,30,38,0,39,0,10,3,4,39,35,8,39,13,2,2,10,26,1,0,8,16,9,1,3,9,14,0,5,8,21,18,3
38,39,36,0,36,39,35,39,38,39,5,9,25,1,4,1,2,2,3,31,3,2,2,10,1,12,14,0,0,1,4,4,13,15,0,0,12,18,0,1,2,1,15,2,1,1,2,1,28,0
36,39,39,36,0,38,39,16,37,39,2,0,2,1,2,0,1,1,3,9,1,39,6,3,9,0,19,24,18,39,9,7,1,2,25,2,2,3,11,10,10,5,1,1,21,1,3,1,3,14
18,39,13,39,38,0,14,33,30,33,1,9,1,5,12,3,2,3,3,21,17,29,8,0,21,19,36,0,1,19,2,2,1,11,5,3,4,19,4,13,39,33,2,26,30,37,23,16,6,38
39,29,39,35,39,14,0,17,39,39,2,3,6,5,1,2,6,4,0,3,4,35,7,0,3,0,27,12,2,37,7,15,0,3,14,3,5,3,1,3,1,1,1,5,9,1,1,4,1,10
37,39,16,39,16,33,17,0,38,37,1,7,11,1,1,2,7,11,1,0,5,3,16,9,2,12,10,15,0,2,5,11,10,1,0,1,15,1,3,7,3,0,2,4,19,5,7,3,14,5
39,19,39,38,37,30,39,38,0,22,23,10,10,8,1,1,4,2,2,10,13,8,32,11,8,5,1,1,7,10,5,11,1,1,4,4,3,5,1,9,11,1,5,2,37,1,24,21,0,23
30,39,36,39,39,33,39,37,22,0,15,6,34,1,7,6,4,0,14,34,0,1,2,5,1,14,11,2,2,9,0,1,6,8,14,6,12,12,0,5,4,1,3,1,2,0,2,1,25,0
1,2,24,5,2,1,2,1,23,15,0,39,39,19,39,39,36,34,38,37,5,0,7,15,4,32,1,0,7,5,8,4,3,32,1,5,18,3,8,2,2,28,5,0,14,1,30,0,3,2
10,18,38,9,0,9,3,7,10,6,39,0,39,31,27,39,13,34,33,39,10,5,8,2,13,3,5,5,1,32,9,22,5,1,4,2,11,11,22,4,2,3,8,0,15,3,21,8,2,5
5,3,4,25,2,1,6,11,10,34,39,39,0,26,36,38,33,13,31,39,11,10,6,37,23,39,4,14,29,2,0,3,37,25,2,2,36,3,14,4,1,17,25,2,18,2,7,2,39,4
6,0,22,1,1,5,5,1,8,1,19,31,26,0,1,6,20,11,2,32,17,0,0,1,10,1,6,2,0,12,6,2,1,7,20,5,2,1,4,3,5,6,0,21,8,3,1,5,11,1
2,4,16,4,2,12,1,1,1,7,39,27,36,1,0,39,34,35,39,18,1,3,4,3,1,26,6,1,6,2,17,1,5,38,8,22,4,25,2,4,16,28,7,5,4,4,22,1,5,0
1,10,7,1,0,3,2,2,1,6,39,39,38,6,39,0,39,39,39,31,2,1,17,4,2,34,1,1,8,12,6,0,2,32,2,24,2,2,6,0,6,32,5,11,6,11,17,0,2,4
9,15,3,2,1,2,6,7,4,4,36,13,33,20,34,39,0,39,39,39,8,5,23,2,0,12,3,0,20,2,11,1,0,37,0,14,0,22,3,3,6,18,22,4,1,1,2,3,0,3
